player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Nic Claxton,claxtni01,2022,PO,BRK,198,98,1.867444679712459,8.980061946724579,10.84750662643704,8.484562922027235,8.246127921516399,16.73069084354363,3.238004738282686,9.455689641393702,12.69369437967639,.7942558730902943,0,.7942558730902943,6.609563713103231,6.585405188698807,13.19496890180204,-.261208215425048
Nic Claxton,claxtni01,2022,RS,BRK,2042,974,-1.655875171083389,.887258505237978,-.768616665845411,-1.743941024828316,.5594809658191358,-1.18446005900918,-1.799665578356272,.8822432023559086,-.917422376000363,.9054368063511157,.9054368063511157,0,-1.861155998240118,-.0655505430509014,-1.926706541291019,-.5748437754537532
Amir Coffey,coffeam01,2022,RS,LAC,3265,1567,.2055614281403325,-.5851296921786855,-.379568264038353,.3176874200957768,-1.651184864195643,-1.333497444099866,.2635499893273205,-.8771428554390213,-.6135928661117007,1.704601491675966,1.704601491675966,0,-.764491311048358,-1.111113590051341,-1.875604901099699,-.2002694120384467
Darren Collison,collida01,2022,RS,LAL,88,37,-8.043187325081814,-9.95869078202975,-18.00187810711157,-5.475821549020038,-4.810017449478813,-10.28583899849885,-7.989235090556114,-9.474825368822927,-17.46406045937904,-.2784867816170814,-.2784867816170814,0,-8.680064464687861,-8.754380302694772,-17.43444476738263,.2605087565601272
John Collins,collijo01,2022,PO,ATL,243,122,-.3470734295323425,1.111694411612626,.7646209820802832,-3.108618038420265,-9.622472004183347,-12.73109004260361,-.8993818286847963,-1.025700644706202,-1.925082473390999,.0534149649941606,0,.0534149649941606,-.2648865681508639,-2.527581403163727,-2.792467971314591,.8417665251341747
John Collins,collijo01,2022,RS,ATL,3420,1663,.9633301040082056,.5923592111307041,1.55568931513891,-.5924399709201293,1.226701047045112,.6342610761249827,.6451603976560294,.80243976369175,1.447600161347779,3.546360718373736,3.546360718373736,0,1.477416206540696,.7111840157649272,2.188600222305624,-.4252824471387864
Zach Collins,colliza01,2022,RS,SAS,1089,502,-3.379997155605701,-.1390886431896099,-3.51908579879531,-1.803770323500023,.2178091780349166,-1.585961145465106,-3.262563797200666,-.0462562587946584,-3.308820055995324,-.1445346178363491,-.1445346178363491,0,-3.692773153011582,.239932169067926,-3.452840983943656,.9847614977286087
Mike Conley,conlemi01,2022,PO,UTA,343,174,-2.102041451561197,-5.117858318726416,-7.219899770287613,-11.44175153911193,8.258281443491057,-3.183470095620871,-4.17186237430599,-2.627975487816879,-6.799837862122868,-.3740619625645336,0,-.3740619625645336,-6.162951155118446,-2.300574260883411,-8.463525416001858,.8562449613096454
Mike Conley,conlemi01,2022,RS,UTA,4272,2058,3.152030203850939,.9018563913390871,4.053886595190026,-.2933731233869665,3.546082421578169,3.252709298191203,2.562607540437855,1.481144425410302,4.043751965848157,7.086620977291224,7.086620977291224,0,2.433692443688528,1.788840923111568,4.222533366800096,-.6555496166648352
Pat Connaughton,connapa01,2022,PO,MIL,663,318,1.02698449789492,1.281261292397012,2.308245790291932,.0358496554477138,1.785106485137801,1.820956140585515,.9248602254781357,1.326173975882416,2.251034201360552,.832533249520496,0,.832533249520496,-.1480913851640195,.5223492111398187,.3742578259757992,-.4996187692650946
